ville,latitude,longitude
Paris,48.8588897,2.320041
Lyon,45.7578137,4.8320114
Marseille,43.2961743,5.3699525
Lille,50.6365654,3.0635282
Bordeaux,44.841225,-0.5800364
Toulouse,43.6044622,1.4442469
Nantes,47.2186371,-1.5541362
Strasbourg,48.584614,7.7507127
Montpellier,43.6112422,3.8767337
Rennes,48.1113387,-1.6800198
Nice,43.7009358,7.2683912
Dijon,47.3215806,5.0414701
Le Havre,49.4938975,0.1079732
Grenoble,45.1875602,5.7357819
Reims,49.2577886,4.031926
Saint-Étienne,45.4401467,4.3873058
Toulon,43.1257311,5.9304919
Angers,47.4739884,-0.5515588
Clermont-Ferrand,45.7774551,3.0819427
Brest,48.3905283,-4.4860088
Le Mans,48.0073849,0.1967849
Amiens,49.8941708,2.2956951
Limoges,45.8354243,1.2644847
Tours,47.3900474,0.6889268
Villeurbanne,45.7733573,4.8868454
Metz,49.1196964,6.1763552
Besançon,47.2380222,6.0243622
Caen,49.1813403,-0.3635615
Orléans,47.9027336,1.9086066
Mulhouse,47.7467233,7.3389937
Rouen,49.4404591,1.0939658
Perpignan,42.6985304,2.8953121
Nancy,48.6937223,6.1834097
Argenteuil,48.9479069,2.2481797
Montreuil,50.4638918,1.7631125
Saint-Denis,48.935773,2.3580232
Roubaix,50.6915893,3.1741734
Avignon,43.9492493,4.8059012
Tourcoing,50.7235038,3.1605714
Fort-de-France,14.6027962,-61.0676724
Poitiers,46.5802596,0.340196
Versailles,48.8035403,2.1266886
Créteil,48.7771486,2.4530731
Pau,43.2957547,-0.3685668
Colombes,48.922788,2.2543577
Aulnay-sous-Bois,48.934231,2.499789
Rueil-Malmaison,48.87778,2.1802832
La Rochelle,46.159732,-1.1515951
Antibes,43.5812868,7.1262071
Saint-Maur-des-Fossés,48.8033057,2.4853015
Calais,50.9524769,1.8538446
Champigny-sur-Marne,48.8137847,2.510611
Saint-Nazaire,47.2733517,-2.2138905
Dunkerque,51.0347708,2.3772525
Aix-en-Provence,43.5298424,5.4474738
Béziers,43.3426562,3.2131307
Bourges,47.0811658,2.399125
Cannes,43.5515198,7.0134418
Courbevoie,48.8953328,2.2561602
Saint-Quentin,49.8465253,3.2876843
Valence,44.9332277,4.8920811
Quimper,47.9960325,-4.1024782
Ajaccio,41.9263991,8.7376029
Levallois-Perret,48.892956,2.2881683
Issy-les-Moulineaux,48.8250508,2.273457
Neuilly-sur-Seine,48.884683,2.2695658
Troyes,48.2971626,4.0746257
Antony,48.753554,2.2959423
Villeneuve-d'Ascq,50.6193174,3.1314002
Sarcelles,48.9960813,2.3796245
Pessac,44.805615,-0.6308396
Évry,48.6241665,2.4289667
Vénissieux,45.6977109,4.8855966
Clichy,48.9026,2.30551
Cergy,49.0527528,2.0388736
Saint-André,43.273316,0.8514079
Ivry-sur-Seine,48.8122302,2.3872525
Chambéry,45.5662672,5.9203636
Lorient,47.7477336,-3.3660907
Montauban,44.0175835,1.3549991
Sartrouville,48.9409016,2.1585037
Niort,46.3239233,-0.4646064
Villejuif,48.7921098,2.3633048
Meaux,48.9582708,2.8773541
Bayonne,43.4945144,-1.4736657
Hyères,43.1202573,6.1301614
Épinay-sur-Seine,48.9525181,2.3145039
Pantin,48.8965023,2.4019804
Bondy,48.9031,2.48291
Maisons-Alfort,48.8012045,2.4309703
Chelles,49.3549458,3.0344372
Fontenay-sous-Bois,48.8490721,2.4749347
Arles,43.6776223,4.6309653
Fréjus,43.4330308,6.7360182
Sèvres,48.8247407,2.2127083
Vannes,47.6586772,-2.7599079
Évry-Courcouronnes,48.629966,2.4381816
Brive-la-Gaillarde,45.1584982,1.5332389
Saint-Ouen,50.03683,2.1223737
Saint-Denis (La Réunion),-20.8799889,55.448137
Saint-Pierre (La Réunion),-21.341298,55.4776174
Papeete (Tahiti),-17.5366464,-149.5561694
Mamoudzou (Mayotte),-12.7804136,45.2279761
Cayenne (Guyane),4.9371544,-52.3258736
Basse-Terre (Guadeloupe),16.0000778,-61.7333373
Fort-de-France (Martinique),14.6027962,-61.0676724
