,Paris,Lyon,Marseille,Lille,Bordeaux,Toulouse,Nantes,Strasbourg,Montpellier,Rennes,Nice,Dijon,Le Havre,Grenoble,Reims
Paris,0.0,393.357760860236,661.6279521620189,204.75646121255906,498.12235480786916,588.1247794957294,340.8616159824896,399.4582567658536,595.6326235691906,306.26351076838085,687.8207563112181,264.6918239093896,175.6100350005128,483.3018622527165,132.38433685416607
Lyon,393.357760860236,0.0,277.021777527827,558.0586626429726,435.30292013034324,359.208563750239,515.0083540201861,383.96323303006113,250.34553783913148,559.1668344675508,298.89031092064636,174.61921011976068,545.5987614418187,94.79871453091823,393.7853653922881
Marseille,661.6279521620189,277.021777527827,0.0,834.654544580543,505.3137694642143,318.7179363984053,695.2094490218652,616.1062276692211,125.51845221012488,765.1594382612578,159.60083258386496,448.34002915907126,798.1432960352872,212.32125256516804,670.7993636405055
Lille,204.75646121255906,558.0586626429726,834.654544580543,0.0,699.4264208774235,791.4210968783625,507.9820158058022,407.45040158067565,783.5858688465097,443.462033138326,833.7984974309607,395.8288967686493,246.24131708173817,637.6830379358859,168.24080344661007
Bordeaux,498.12235480786916,435.30292013034324,505.3137694642143,699.4264208774235,0.0,211.95974794762597,274.83795334471023,758.7269952932204,380.4826534791287,373.23716340596474,637.3578294362082,513.6693051644279,519.9549903475305,497.8300475062827,602.469790468864
Toulouse,588.1247794957294,359.208563750239,318.7179363984053,791.4210968783625,211.95974794762597,0.0,464.97986988409787,736.4681217221099,195.84303177512552,556.369237871261,468.6002249789592,499.41495708486644,662.7698322266169,383.6546911665268,659.0542104474773
Nantes,340.8616159824896,515.0083540201861,695.2094490218652,507.9820158058022,274.83795334471023,464.97986988409787,0.0,709.5864474017233,583.3414227651252,99.71046940792026,790.8168533525658,497.6250695954196,281.211936449152,604.4740216712358,471.59366817845176
Strasbourg,399.4582567658536,383.96323303006113,616.1062276692211,407.45040158067565,758.7269952932204,736.4681217221099,709.5864474017233,0.0,628.3263729844936,698.4738646849631,544.3068698638388,245.8047967492924,565.9416867286484,407.5538359693841,281.80444533719725
Montpellier,595.6326235691906,250.34553783913148,125.51845221012488,783.5858688465097,380.4826534791287,195.84303177512552,583.3414227651252,628.3263729844936,0.0,659.5954376430421,273.01903549821435,422.436913403093,714.5586651531713,229.19447409436123,627.9795461151682
Rennes,306.26351076838085,559.1668344675508,765.1594382612578,443.462033138326,373.23716340596474,556.369237871261,99.71046940792026,698.4738646849631,659.5954376430421,0.0,847.5759637999552,510.28462532651054,201.93386063874942,652.3601901473767,438.1447138856598
Nice,687.8207563112181,298.89031092064636,159.60083258386496,833.7984974309607,637.3578294362082,468.6002249789592,790.8168533525658,544.3068698638388,273.01903549821435,847.5759637999552,0.0,438.35236864007743,844.3422995131367,205.2437825794202,665.574627731372
Dijon,264.6918239093896,174.61921011976068,448.34002915907126,395.8288967686493,513.6693051644279,499.41495708486644,497.6250695954196,245.8047967492924,422.436913403093,510.28462532651054,438.35236864007743,0.0,436.84986392871207,243.21993293746425,227.8788292450265
Le Havre,175.6100350005128,545.5987614418187,798.1432960352872,246.24131708173817,519.9549903475305,662.7698322266169,281.211936449152,565.9416867286484,714.5586651531713,201.93386063874942,844.3422995131367,436.84986392871207,0.0,639.2577561557391,285.2655244184211
Grenoble,483.3018622527165,94.79871453091823,212.32125256516804,637.6830379358859,497.8300475062827,383.6546911665268,604.4740216712358,407.5538359693841,229.19447409436123,652.3601901473767,205.2437825794202,243.21993293746425,639.2577561557391,0.0,470.4902060249808
Reims,132.38433685416607,393.7853653922881,670.7993636405055,168.24080344661007,602.469790468864,659.0542104474773,471.59366817845176,281.80444533719725,627.9795461151682,438.1447138856598,665.574627731372,227.8788292450265,285.2655244184211,470.4902060249808,0.0
