,Paris,Lyon,Marseille,Lille,Bordeaux,Toulouse,Nantes,Strasbourg,Montpellier,Rennes,Nice,Dijon,Le Havre,Grenoble,Reims
Paris,0.0,3.990822928701818,6.343954821657342,1.92688975059144,4.9550054054074275,5.326915022632804,4.207098473866115,5.437593426580492,5.473673030652227,4.0693143035771575,7.147772949413349,3.125619237090408,2.301408016379904,5.014573381006908,1.757745881988125
Lyon,3.990822928701818,0.0,2.51973196247172,5.189388304890582,5.489116161501096,4.014208638077061,6.551098089249872,4.063202827167479,2.349537122228449,6.9242783216302355,3.1885252430169713,1.5777325072842012,6.0228613694556925,1.0686394017312388,3.5902591755920845
Marseille,6.343954821657342,2.51973196247172,0.0,7.694214355773419,6.147320520006559,3.937792006589197,7.957934326372113,5.7996218489174085,1.5260963817150779,8.537442101109363,1.9411082838265217,4.038786521616295,8.130202889070285,1.926440181428736,6.109923074529396
Lille,1.92688975059144,5.189388304890582,7.694214355773419,0.0,6.845548432831757,7.216131050915023,5.745002904696241,5.116659367693165,7.072232267798373,5.373827082694131,8.110723198159652,3.8602303537492006,3.1687529546677204,6.068986530450595,1.6848797474191126
Bordeaux,4.9550054054074275,5.489116161501096,6.147320520006559,6.845548432831757,0.0,2.3721941535470346,2.5692330983362437,9.133145228916039,4.623381599278806,3.45016044426969,7.930830678565669,6.144387620584625,4.703266801059495,6.3253070177955735,6.385626923948712
Toulouse,5.326915022632804,4.014208638077061,3.937792006589197,7.216131050915023,2.3721941535470346,0.0,4.6960154835941115,8.035759008184161,2.4324962488304562,5.483883496116699,5.824943260042922,5.1727153362848775,6.039128708199372,4.5742181773314,6.217409630184724
Nantes,4.207098473866115,6.551098089249872,7.957934326372113,5.745002904696241,2.5692330983362437,4.6960154835941115,0.0,9.404578988086858,6.519788787627406,0.9015335974834834,9.497958315331378,6.59640961651048,2.8176972061200125,7.567574200390852,5.946614981838078
Strasbourg,5.437593426580492,4.063202827167479,5.7996218489174085,5.116659367693165,9.133145228916039,8.035759008184161,9.404578988086858,0.0,6.304136765130994,9.442600542019468,4.907437904906946,2.989188658343654,7.696639756947996,3.9496734863635368,3.7792245980071155
Montpellier,5.473673030652227,2.349537122228449,1.5260963817150779,7.072232267798373,4.623381599278806,2.4324962488304562,6.519788787627406,6.304136765130994,0.0,7.150411034973757,3.3928432824383754,3.8888586916985686,6.986357354514467,2.4373835658441703,5.648678685970041
Rennes,4.0693143035771575,6.9242783216302355,8.537442101109363,5.373827082694131,3.45016044426969,5.483883496116699,0.9015335974834834,9.442600542019468,7.150411034973757,0.0,9.976257472882772,6.767728151478723,2.260174286090888,7.971360961014445,5.825862356368168
Nice,7.147772949413349,3.1885252430169713,1.9411082838265217,8.110723198159652,7.930830678565669,5.824943260042922,9.497958315331378,4.907437904906946,3.3928432824383754,9.976257472882772,0.0,4.250675987815609,9.210319820309763,2.135168230637071,6.4306547125217985
Dijon,3.125619237090408,1.5777325072842012,4.038786521616295,3.8602303537492006,6.144387620584625,5.1727153362848775,6.59640961651048,2.989188658343654,3.8888586916985686,6.767728151478723,4.250675987815609,0.0,5.39057996660241,2.244128325928664,2.1835935311107724
Le Havre,2.301408016379904,6.0228613694556925,8.130202889070285,3.1687529546677204,4.703266801059495,6.039128708199372,2.8176972061200125,7.696639756947996,6.986357354514467,2.260174286090888,9.210319820309763,5.39057996660241,0.0,7.086379308586791,3.9310498584076816
Grenoble,5.014573381006908,1.0686394017312388,1.926440181428736,6.068986530450595,6.3253070177955735,4.5742181773314,7.567574200390852,3.9496734863635368,2.4373835658441703,7.971360961014445,2.135168230637071,2.244128325928664,7.086379308586791,0.0,4.4124691677258605
Reims,1.757745881988125,3.5902591755920845,6.109923074529396,1.6848797474191126,6.385626923948712,6.217409630184724,5.946614981838078,3.7792245980071155,5.648678685970041,5.825862356368168,6.4306547125217985,2.1835935311107724,3.9310498584076816,4.4124691677258605,0.0
